Category,NACA_1_3,NACA_4_7
Cardiovascular,0.16976351351351354,0.3684210526315789
CNS_Neurology,0.10557432432432433,0.16260801256873528
Psychiatry,0.04560810810810811,0.023566378633150042
Respiratory,0.05152027027027027,0.12490180675569522
Abdomen,0.07263513513513513,0.03613511390416339
Metabolic,0.03209459459459459,0.029065200314218383
Gynecology_Obstetrics,0.015202702702702702,0.003927729772191674
Other_Medical,0.17989864864864866,0.09583660644147683
Isolated_Trauma,0.222972972972973,0.04006284367635507
Multiple_Trauma,0.05405405405405406,0.047132757266300083
Polytrauma,0.0008445945945945946,0.030636292223095052
Thermal_Injury,0.0016891891891891893,0.0
Inhalation_Injury,0.002533783783783784,0.0
Other_Injury,0.04560810810810811,0.037706205813040065